id;cod_ind_p;Ag_met_calc_p;Ag_estatus;Ag_fonte_p;Ag_Numerador;Ag_Denomiador;Ag_  Multiplicador ;Ag_SUS/TOTAL;Ag_URBANO/RURAL;Ag_QUINTIL;Ag_ANO;Ag_SEXO;Ag_ESCOLARIDADE;Ag_IDADE;Ag_BRUTO/PADRONIZADO;Ag_Especialista;Ag_MUN/EST/FED;Ag_Sem_USO;Ag_NA;Ag_ANOI;Excluir_UF;Ag_ANOF;Excluir_REG;Num;Den;Automatico;Zeros
1;A51;Numerador: número de internações hospitalares de residentes, pagas pelo SUS X 1.000. Denominador: população total residente, no período considerado.;;;A05_N_SIH;POP_TOTAL;1000;0;0;0;;0;0;0;0;0;0;0;0;2000;;2017;;SIH;SVS;1;
2;A10;Numerador: número de nascidos vivos de parto hospitalar, de mães residentes X 100. Denominador: número total de nascidos vivos de mulheres residentes.;;;A10_Partos_Hosp;D_Nascidos_SINASC;100;0;0;0;;0;0;0;0;0;0;0;0;2000;;2016;;SINASC;SINASC;1;
3;A11;Numerador: número de procedimentos de implantação de prótese de quadril em residentes de 60 anos ou mais de idade X 100.000. Denominador: população total de 60 anos ou mais de idade residente. Procedimentos (SIH/1998-2007): 39003124, 39016129, 39018121, 39025128, 39027120, 39029123 e 93392150. Procedimento (SIH/2008-2010): 0408040041, 0408040050, 0408040076, 0408040084, 0408040092 e 0702031224.;;;A11_N_60_SIH;POP_TOTAL_60_MAIS;100000;0;0;0;;0;0;0;B;0;0;0;0;2000;;2017;;SIH;SVS;1;
4;A13;Numerador: número de procedimentos de cirurgias de revascularização do miocárdio em residentes de 20 anos ou mais de idade X 100.000. Denominador: população total de 20 anos ou mais de idade residente. Procedimentos (SIH/1998-2007): 32011016, 32038011, 32039018, 32040016, 48010073, 48010081, 48010090 e 48010103. Procedimentos (SIH/2008-2010): 0406010927, 0406010935, 0406010943 e 0406010951.;;;A13_N_SIH;POP_TOTAL_20_MAIS;100000;0;0;0;;0;0;0;B;0;0;0;0;2000;;2017;;SIH;SVS;1;
5;A15;Numerador: número de procedimentos de angioplastia em residentes de 20 anos ou mais de idade X 100.000. Denominador: população total de 20 anos ou mais de idade residente. Procedimentos (SIH/1998-2007): 32023014, 32035012, 48030066, 48030074, 48030082, 48030090, 48030104, 48030112. Procedimentos (SIH/2008-2010): 0406030014, 0406030022, 0406030030, 0406030049, 0406030065 e 0406030073.;;;A15_N_SIH;POP_TOTAL_20_MAIS;100000;0;0;0;;0;0;0;B;0;0;0;0;2000;;2017;;SIH;SVS;1;
6;A20;Numerador: número de crianças menores de 1 ano que receberam a terceira dose de tetra/pentavalente X 100. Denominador: população total de crianças menores de 1 ano residente.;;;A20_TETRA;D_Nascidos_SINASC;100;0;0;0;;0;0;0;0;0;0;0;0;2000;;2016;;Tabela;SINASC;0;
7;A22;Numerador: número de doses de vacina contra gripe aplicadas em pessoas de 60 anos ou mais X 100. Denominador: população total de 60 anos ou mais residente.;;;A22_DOSES_INFLUENZA;POP_TOTAL_60_MAIS;100;0;0;0;;0;0;0;0;0;0;0;0;2000;;2017;;Tabela;SVS;0;
8;A26;Numerador: número de pessoas que residem em domicílios cadastrados na Estratégia Saúde da Família X 100. Denominador: população total residente.;;;A26_SIAB;POP_TOTAL;100;0;0;0;;0;0;0;0;0;0;0;0;2000;;2017;;MS;SVS;0;
9;A54;Numerador: número de beneficiários (titulares, dependentes e agregados) de planos de saúde (privados e de servidores públicos) X 100 (mês de referência - dezembro). Denominador: população total residente.;;;A27_PLANO;POP_TOTAL;100;0;0;0;;0;0;0;0;0;0;0;0;2000;;2017;;ANS;SVS;0;
10;B01;Numerador: número de casos novos de Aids em residentes X 100.000. Denominador: população total residente no período determinado.;;;B01_AIDS_TABNET;POP_TOTAL;100000;0;0;0;;0;0;0;0;0;0;0;0;2000;;2016;;TSINAN;SVS;0;
