Id;cod_ind_p;nome_ind_p;definicao_p;inter_p;met_calc_p;fonte_p;valor_ref_p;period_p;atuali_p;period_c_p;abrang_g_p;nivel_a_p;dimen_p;limit_p;bibli_p;quest_pen_p;bobs_p;periodo_inic;periodo_fin;sexo;ajuste;cobertura;renda;escolaridade;situacao;pnad;sus;especialista;esfera;fxetaria;tabela;erro;porte;status
1;A02;Postos ou centros de saúde como serviço de uso regular;Percentual da população que refere fazer uso regular de postos ou centros de saúde públicos.;Permite monitorar o acesso efetivo aos serviços de saúde no sistema público e se os serviços de uso regular são unidades de atenção básica.;Numerador: número de pessoas que referem fazer uso regular de postos ou centros de saúde públicos X 100. Denominador: população que refere uso regular de algum serviço de saúde.;PNAD e PNS.;Idealmente, todas as pessoas devem usar postos e centros de saúde quando buscam serviços de saúde, excetuando os casos de urgência.;Quinquenal.;Quinquenal.;1998 - 2013;Brasil, Grandes Regiões e UFs.;Básica;Acesso.;1 - A informacão prestada nem sempre é dada pela própria pessoa. 2 - A partir de 2004, a PNAD ampliou sua cobertura para todo o território nacional, passando a agregar as informações das áreas rurais de Rondônia, Acre, Amazonas, Roraima, Pará e Amapá.;;;1 - Para o cálculo das estimativas, foram consideradas as informações do desenho amostral. 2 - Os gráficos estão acompanhados dos intervalos de confiança (IC 95%).;1998;2013;1;0;3;1;2;1;1;0;0;0;0;1;1;0;S
2;A03;Consultas médicas;Percentual da população que refere ter consultado médico nos últimos 12 meses, em determinado espaço geográfico.;Permite conhecer a proporção da população que teve pelo menos uma consulta médica no ano de referência.;Numerador: número de pessoas que referem ter consultado médico nos últimos 12 meses X 100. Denominador: população total residente.;PNAD e PNS.;Espera-se que, em média, cada pessoa consulte um médico pelo menos uma vez ao ano.;Quinquenal.;Quinquenal.;1998 - 2013;Brasil, Grandes Regiões e UFs.;Básica;Acesso.;1 - A informacão prestada nem sempre é dada pela própria pessoa. 2 - A partir de 2004, a PNAD ampliou sua cobertura para todo o território nacional, passando a agregar as informações das áreas rurais de Rondônia, Acre, Amazonas, Roraima, Pará e Amapá.;;;1 - Para o cálculo das estimativas, foram consideradas as informações do desenho amostral. 2 - Os gráficos estão acompanhados dos intervalos de confiança (IC 95%).;1998;2013;1;0;3;1;2;1;1;0;0;0;0;1;1;0;S
3;A04;Consultas odontológicas;Percentual da população que refere ter realizado a última consulta odontológica nos últimos 12 meses.;Permite monitorar o acesso a serviços odontológicos, com financiamento do SUS ou não.;Numerador: número de pessoas que foram ao dentista nos últimos 12 meses X 100. Denominador: população total residente.;PNAD e PNS.;Espera-se que, em média, cada pessoa consulte o dentista pelo menos uma vez ao ano.;Quinquenal.;Quinquenal.;1998 - 2013;Brasil, Grandes Regiões e UFs.;Básica;Acesso.;1 - A informacão prestada nem sempre é dada pela própria pessoa. 2 - A partir de 2004, a PNAD ampliou sua cobertura para todo o território nacional, passando a agregar as informações das áreas rurais de Rondônia, Acre, Amazonas, Roraima, Pará e Amapá.;;;1 - Para o cálculo das estimativas, foram consideradas as informações do desenho amostral. 2 - Os gráficos estão acompanhados dos intervalos de confiança (IC 95%).;1998;2013;1;0;3;1;2;1;1;0;0;0;0;1;1;0;S
4;A05;Internações hospitalares referidas;Percentual da população que refere internação hospitalar nos últimos 12 meses, em determinado espaço geográfico.;Estima o acesso a internações hospitalares pela população brasileira, financiadas pelo SUS ou não.;Numerador: número de pessoas que referem internação hospitalar nos últimos 12 meses X 100. Denominador: população total residente.;PNAD e PNS.;Espera-se que a taxa de internação permaneça em torno de 6 a 8%.;Quinquenal.;Quinquenal.;1998 - 2013;Brasil, Grandes Regiões e UFs.;Media e alta complexidade;Acesso.;1 - A informacão prestada nem sempre é dada pela própria pessoa. 2 - A partir de 2004, a PNAD ampliou sua cobertura para todo o território nacional, passando a agregar as informações das áreas rurais de Rondônia, Acre, Amazonas, Roraima, Pará e Amapá.;;;1 - Para o cálculo das estimativas, foram consideradas as informações do desenho amostral. 2 - Os gráficos estão acompanhados dos intervalos de confiança (IC 95%).;1998;2013;1;0;3;1;2;1;1;0;0;0;0;1;1;0;S
5;A07;Cobertura de mamografia;Percentual de mulheres de 50 a 69 anos que fizeram pelo menos uma mamografia nos últimos 2 anos, em determinado espaço geográfico.;Permite monitorar o acesso de mulheres de 50 a 69 anos ao exame de mamografia.;Numerador: número de mulheres de 50 a 69 anos que fizeram mamografia nos últimos 2 anos X 100 (V7741 <=2 ou V1704<=2). Denominador: população feminina de 50 a 69 anos residente.;PNAD e PNS.;O Instituto Nacional do Câncer (INCA) recomenda que o exame de mamografia seja realizado a cada dois anos em mulheres de 50 a 69 anos, para diagnóstico precoce do câncer de mama.;Quinquenal.;Quinquenal.;2003 - 2013;Brasil, Grandes Regiões e UFs.;Média e alta complexidade;Acesso/Efetividade.;1 - A informação prestada nem sempre é dada pela própria pessoa. 2 - A partir de 2004, a PNAD ampliou sua cobertura para todo o território nacional, passando a agregar as informações das áreas rurais de Rondônia, Acre, Amazonas, Roraima, Pará e Amapá.;Instituto Nacional de Câncer José Alencar Gomes da Silva. Diretrizes para a detecção precoce do câncer de mama no Brasil/ Instituto Nacional de Câncer José Alencar Gomes da Silva - Rio de Janeiro: INCA, 2015.;;1 - Para o cálculo das estimativas, foram consideradas as informações do desenho amostral. 2 - Os gráficos estão acompanhados dos intervalos de confiança (IC 95%).;2003;2013;0;0;3;1;2;1;1;0;0;0;0;1;1;0;S
6;A08;Uso de serviços de saúde nas duas últimas semanas;Percentual da população que referiu uso de serviços de saúde nos últimos 15 dias, em determinado espaço geográfico.;Permite monitorar o uso de serviços de saúde, financiados pelo SUS ou não.;Numerador: número de pessoas que procuraram serviços de saúde nos últimos 15 dias e foram atendidas X 100 (V1350=2 & (v1354 ou V1358=2)). Denominador: população total residente.;PNAD e PNS.;;Quinquenal.;Quinquenal.;1998 - 2013;Brasil, Grandes Regiões e UFs.;Básica;Acesso.;1 - A informação prestada nem sempre é dada pela própria pessoa. 2 - A partir de 2004, a PNAD ampliou sua cobertura para todo o território nacional, passando a agregar as informações das áreas rurais de Rondônia, Acre, Amazonas, Roraima, Pará e Amapá.;;;1 - Para o cálculo das estimativas, foram consideradas as informações do desenho amostral. 2 - Os gráficos estão acompanhados dos intervalos de confiança (IC 95%).;1998;2013;1;0;3;1;2;1;1;0;0;0;0;1;1;0;S
7;A10;Partos hospitalares;Percentual de partos hospitalares no total de partos, na população residente em determinado espaço geográfico, no ano considerado.;1 - Mede a participação relativa dos partos hospitalares no total de partos. O número de nascidos vivos é adotado como uma aproximação do total de partos. 2 - É influenciado por fatores socioeconômicos, pela infra-estrutura de prestação de serviços e por políticas públicas assistenciais e preventivas.;Numerador: número de nascidos vivos de parto hospitalar, de mães residentes X 100. Denominador: número total de nascidos vivos de mulheres residentes.;SINASC.;Pode-se usar como valor de referência a UF com maior proporção.;Mensal.;Anual.;2000 - 2016;Brasil, Grandes Regiões e UFs.;Básica;Acesso.;1 - Desconsidera, por restrição da fonte de dados, os partos que deram origem a natimortos e abortos. 2 - A representatividade populacional do indicador pode estar comprometida nas áreas que apresentam insuficiente cobertura do sistema de informação sobre nascidos vivos. 3 - Há possibilidade de superestimação do indicador pela maior probabilidade de registro de partos hospitalares no sistema de informação sobre nascidos vivos. 4 - Há possibilidade de nascidos vivos que morrem logo após o nascimento serem declarados como natimortos, subenumerando o total de nascidos vivos. 5 - A ocorrência de partos gemelares resulta em contagem cumulativa de nascidos vivos. 6 - Por incluir no denominador os partos sem informação sobre o local do parto, está-se assumindo que estes casos foram não hospitalares.;;;;2000;2016;0;0;3;0;0;0;;0;0;0;0;1;0;0;S
8;A11;Cirurgias de prótese de quadril em idosos;Número de cirurgias de prótese parcial ou total de quadril por 100 mil habitantes com 60 anos ou mais, em determinado espaço geográfico, no ano considerado.;Permite verificar o acesso a serviços de média e alta complexidades.;Numerador: número de procedimentos de implantação de prótese de quadril em residentes de 60 anos ou mais de idade X 100.000. Denominador: população total de 60 anos ou mais de idade residente. Procedimentos (SIH/1998-2007): 39003124, 39016129, 39018121, 39025128, 39027120, 39029123 e 93392150. Procedimento (SIH/2008-2010):0408040041, 0408040050, 0408040076, 0408040084, 0408040092 e 0702031224.;SIH-SUS.;;Mensal.;Anual.;2000 - 2017;Brasil, Grandes Regiões e UFs.;Alta e média complexidade;Acesso.;1 - Os tetos estabelecidos para faturamento de AIHs podem gerar taxas imprecisas. 2 - Inclui apenas as internações realizadas no setor público ou no setor privado quando pagas pelo SUS.;;;;2000;2017;0;1;3;0;0;0;;0;0;0;0;1;0;0;S
9;A12;Cirurgias de catarata;Número de cirurgias de remoção de catarata (facectomia) em residentes de 40 anos ou mais de idade, por 100 mil habitantes, em determinado espaço geográfico, no ano considerado.;Permite verificar o acesso a serviços de média e alta complexidades.;Numerador: número de procedimentos de remoção de catarata (hospitalares ou ambulatorias) em residentes de 40 anos ou mais de idade X 100.000. Denominador: população total de 40 anos ou mais de idade residente. Procedimentos (SIH/2000-2007): 36004049, 36005045, 36019054, 36020052. Procedimentos (SIA/2000-2007): 0814507, 0814603, 0814614, 0814617 a 0814618. Procedimentos (SIH e SIA/2008-2015): 0405050097, 0405050100, 0405050119 e 0405050372.;SIH-SUS e SIA.;A média para os países da OECD, em 2007, foi 716 por 100 mil habitantes, considerando internação e day case (excluindo os casos realizados em ambulatório fora dos hospitais).;Mensal.;Anual.;2000 - 2017;Brasil, Grandes Regiões e UFs.;Média e alta complexidade;Acesso.;1 - Os tetos estabelecidos para faturamento de AIHs podem gerar taxas imprecisas. 2 - Houve períodos em que foram realizados mutirões (2002-2005). 3 - Os dados das cirurgias ambulatoriais não permitem identificação da faixa etária até 2007. 4 - Dados de 2008 e 2009 indicam que 90% dos pacientes tinham mais de 40 anos de idade.;;;;2000;2017;0;0;3;0;0;0;;0;0;0;0;1;0;0;S
10;A13;Cirurgias de revascularização do miocárdio;Número de cirurgias de revascularização do miocárdio, por 100 mil habitantes com 20 anos ou mais de idade, em determinado espaço geográfico, no ano considerado.;Permite monitorar o acesso a serviços de média e alta complexidades.;Numerador: número de procedimentos de cirurgias de revascularização do miocárdio em residentes de 20 anos ou mais de idade X 100.000. Denominador: população total de 20 anos ou mais de idade residente. Procedimentos (SIH/1998-2007): 32011016, 32038011, 32039018, 32040016, 48010073, 48010081, 48010090 e 48010103. Procedimentos (SIH/ 2008-2010): 0406010927, 0406010935, 0406010943 e 0406010951.;SIH-SUS.;Segundo Emanuel & Fuchs (2008), as taxas de cirurgia de revascularização coronariana (angioplastia e revascularização) por 100.000 habitantes variam de 579 (EUA), 320 (Noruega), 196 (França), 134 (Suiça) e 245 (média dos países da OECD). Segundo o relatório do CIHI (2009/2010), a taxa padronizada por idade para angioplastia foi de 66 e a de revascularização foi de 169 por 100 mil habitantes com 20 anos ou mais.;Mensal.;Anual.;2000 - 2017;Brasil, Grandes Regiões e UFs.;Média e alta complexidade;Acesso.;1 - As variações nas taxas entre as regiões de saúde podem ser devidas à prevalência da doença coronariana, disponibilidade de serviços e padrões de práticas dos provedores. 2 - Em decorrência dos avanços tecnológicos e do caráter menos invasivo, observa-se que nos anos mais recentes houve uma diminuição nas taxas de cirurgias de revascularização e aumento nas taxas de angioplastia. 3 - Os tetos estabelecidos para faturamento de AIHs podem gerar taxas imprecisas. 4 - Inclui apenas as internações realizadas no setor público ou no setor privado quando pagas pelo SUS.;1 - Canadian Institute for Health Information, Health Indicators 2009 (Ottawa, Ont.: CIHI, 2009). 2 - Emanuel, E. J. & Fuchs, V. R. The perfect storm of overutilization. Jama, 2008 (23):2789-91. 3 - Polanczyk CA, Ribeiro JP. Coronary artery disease in Brazil: contemporary management and future perspectives. Heart. 2009 95(11):870-6.;;;2000;2017;0;1;3;0;0;0;;0;0;0;0;1;0;0;S
