cod_sec_inter;nome_sec_inter;nota1;nota2;ano;quint;t_quint;c_escol;t_escol;quintil;escol;f_etaria;t_f_etaria;c_f_etaria;nome_sec
A020000000000000000;Percentual da população que tem posto ou centro de saúde como serviço de uso regular;;;;Total;Todas as categorias;Total;Todas as categorias;0;0;0;;;
A020000000010000000;Percentual da população do primeiro quintil de renda que tem posto ou centro de saúde como serviço de uso regular;;;;Q1;Percentual da população que tem posto ou centro de saúde como serviço de uso regular, por quintil de renda;;;1;0;0;;;
A020000000020000000;Percentual da população do segundo quintil de renda que tem posto ou centro de saúde como serviço de uso regular;;;;Q2;Percentual da população que tem posto ou centro de saúde como serviço de uso regular, por quintil de renda;;;1;0;0;;;
A020000000030000000;Percentual da população do terceiro quintil de renda que tem posto ou centro de saúde como serviço de uso regular;;;;Q3;Percentual da população que tem posto ou centro de saúde como serviço de uso regular, por quintil de renda;;;1;0;0;;;
A020000000040000000;Percentual da população do quarto quintil de renda que tem posto ou centro de saúde como serviço de uso regular;;;;Q4;Percentual da população que tem posto ou centro de saúde como serviço de uso regular, por quintil de renda;;;1;0;0;;;
A020000000050000000;Percentual da população do quinto quintil de renda que tem posto ou centro de saúde como serviço de uso regular;;;;Q5;Percentual da população que tem posto ou centro de saúde como serviço de uso regular, por quintil de renda;;;1;0;0;;;
A020000000100000000;Percentual da população residente em área urbana que tem posto ou centro de saúde como serviço de uso regular;;;;;;;;0;0;0;;;
A020000000200000000;Percentual da população residente em área rural que tem posto ou centro de saúde como serviço de uso regular;;;;;;;;0;0;0;;;
A020010800000000000;Percentual da população com 1 a 8 anos de escolaridade que tem posto ou centro de saúde como serviço de uso regular;;;;;;1 a 8;Percentual da população que tem posto ou centro de saúde como serviço de uso regular, por anos de estudo;0;1;0;;;2
A020091100000000000;Percentual da população com 9 a 11 anos de escolaridade que tem posto ou centro de saúde como serviço de uso regular;;;;;;9 a 11;Percentual da população que tem posto ou centro de saúde como serviço de uso regular, por anos de estudo;0;1;0;;;3
A020111100000000000;Percentual da população com menos de 1 ano de escolaridade que tem posto ou centro de saúde como serviço de uso regular;;;;;;< 1;Percentual da população que tem posto ou centro de saúde como serviço de uso regular, por anos de estudo;0;1;0;;;1
A020120000000000000;Percentual da população com 12 anos ou mais de escolaridade que tem posto ou centro de saúde como serviço de uso regular;;;;;;12 ou mais;Percentual da população que tem posto ou centro de saúde como serviço de uso regular, por anos de estudo;0;1;0;;;4
A021000000000000000;Percentual de homens que tem posto ou centro de saúde como serviço de uso regular;;;;;;;;0;0;0;;;
A022000000000000000;Percentual de mulheres que tem posto ou centro de saúde como serviço de uso regular;;;;;;;;0;0;0;;;
A030000000000000000;Percentual da população que consultou médico nos últimos 12 meses; ;;;Total;Todas as categorias;Total;Todas as categorias;0;0;0;;;
A030000000010000000;Percentual da população do primeiro quintil de renda que consultou médico nos últimos 12 meses;;;;Q1;Percentual da população que consultou médico nos últimos 12 meses, por quintil de renda;;;1;0;0;;;
A030000000020000000;Percentual da população do segundo quintil de renda que consultou médico nos últimos 12 meses;;;;Q2;Percentual da população que consultou médico nos últimos 12 meses, por quintil de renda;;;1;0;0;;;
A030000000030000000;Percentual da população do terceiro quintil de renda que consultou médico nos últimos 12 meses;;;;Q3;Percentual da população que consultou médico nos últimos 12 meses, por quintil de renda;;;1;0;0;;;
A030000000040000000;Percentual da população do quarto quintil de renda que consultou médico nos últimos 12 meses;;;;Q4;Percentual da população que consultou médico nos últimos 12 meses, por quintil de renda;;;1;0;0;;;
A030000000050000000;Percentual da população do quinto quintil de renda que consultou médico nos últimos 12 meses;;;;Q5;Percentual da população que consultou médico nos últimos 12 meses, por quintil de renda;;;1;0;0;;;
A030000000100000000;Percentual da população residente em área urbana que consultou médico nos últimos 12 meses;;;;;;;;0;0;0;;;
A030000000200000000;Percentual da população residente em área rural que consultou médico nos últimos 12 meses;;;;;;;;0;0;0;;;
A030010800000000000;Percentual da população com 1 a 8 anos de escolaridade que consultou médico nos últimos 12 meses;;;;;;1 a 8;Percentual da população que consultou médico nos últimos 12 meses, por anos de estudo;0;1;0;;;2
A030091100000000000;Percentual da população com 9 a 11 anos de escolaridade que consultou médico nos últimos 12 meses;;;;;;9 a 11;Percentual da população que consultou médico nos últimos 12 meses, por anos de estudo;0;1;0;;;3
A030111100000000000;Percentual da população com menos de 1 ano de escolaridade que consultou médico nos últimos 12 meses;;;;;;< 1;Percentual da população que consultou médico nos últimos 12 meses, por anos de estudo;0;1;0;;;1
A030120000000000000;Percentual da população com 12 anos ou mais de escolaridade que consultou médico nos últimos 12 meses;;;;;;12 ou mais;Percentual da população que consultou médico nos últimos 12 meses, por anos de estudo;0;1;0;;;4
A031000000000000000;Percentual de homens que consultaram médico nos últimos 12 meses;;;;;;;;0;0;0;;;
A032000000000000000;Percentual de mulheres que consultaram médico nos últimos 12 meses;;;;;;;;0;0;0;;;
A040000000000000000;Percentual da população que consultou dentista nos últimos 12 meses;;;;Total;Todas as categorias;Total;Todas as categorias;0;0;0;;;
A040000000010000000;Percentual da população do primeiro quintil de renda que consultou dentista nos últimos 12 meses;;;;Q1;Percentual da população que consultou dentista nos últimos 12 meses, por quintil de renda;;;1;0;0;;;
A040000000020000000;Percentual da população do segundo quintil de renda que consultou dentista nos últimos 12 meses;;;;Q2;Percentual da população que consultou dentista nos últimos 12 meses, por quintil de renda;;;1;0;0;;;
A040000000030000000;Percentual da população do terceiro quintil de renda que consultou dentista nos últimos 12 meses;;;;Q3;Percentual da população que consultou dentista nos últimos 12 meses, por quintil de renda;;;1;0;0;;;
A040000000040000000;Percentual da população do quarto quintil de renda que consultou dentista nos últimos 12 meses;;;;Q4;Percentual da população que consultou dentista nos últimos 12 meses, por quintil de renda;;;1;0;0;;;
A040000000050000000;Percentual da população do quinto quintil de renda que consultou dentista nos últimos 12 meses;;;;Q5;Percentual da população que consultou dentista nos últimos 12 meses, por quintil de renda;;;1;0;0;;;
A040000000100000000;Percentual da população residente em área urbana que consultou dentista nos últimos 12 meses;;;;;;;;0;0;0;;;
A040000000200000000;Percentual da população residente em área rural que consultou dentista nos últimos 12 meses;;;;;;;;0;0;0;;;
A040010800000000000;Percentual da população com 1 a 8 anos de escolaridade que consultou dentista nos últimos 12 meses;;;;;;1 a 8;Percentual da população que consultou dentista nos últimos 12 meses, por anos de estudo;0;1;0;;;2
A040091100000000000;Percentual da população com 9 a 11 anos de escolaridade que consultou dentista nos últimos 12 meses;;;;;;9 a 11;Percentual da população que consultou dentista nos últimos 12 meses, por anos de estudo;0;1;0;;;3
A040111100000000000;Percentual da população com menos de 1 ano de escolaridade que consultou dentista nos últimos 12 meses;;;;;;< 1;Percentual da população que consultou dentista nos últimos 12 meses, por anos de estudo;0;1;0;;;1
A040120000000000000;Percentual da população com 12 anos ou mais de escolaridade que consultou dentista nos últimos 12 meses;;;;;;12 ou mais;Percentual da população que consultou dentista nos últimos 12 meses, por anos de estudo;0;1;0;;;4
A041000000000000000;Percentual de homens que consultaram dentista nos últimos 12 meses;;;;;;;;0;0;0;;;
A042000000000000000;Percentual de mulheres que consultaram dentista nos últimos 12 meses;;;;;;;;0;0;0;;;
A050000000000000000;Percentual da população que foi internada nos últimos 12 meses;;;;Total;Todas as categorias;Total;Todas as categorias;0;0;0;;;
A050000000010000000;Percentual da população do primeiro quintil de renda que foi internada nos últimos 12 meses;;;;Q1;Percentual da população que foi internada nos últimos 12 meses, por quintil de renda;;;1;0;0;;;
A050000000020000000;Percentual da população do segundo quintil de renda que foi internada nos últimos 12 meses;;;;Q2;Percentual da população que foi internada nos últimos 12 meses, por quintil de renda;;;1;0;0;;;
A050000000030000000;Percentual da população do terceiro quintil de renda que foi internada nos últimos 12 meses;;;;Q3;Percentual da população que foi internada nos últimos 12 meses, por quintil de renda;;;1;0;0;;;
A050000000040000000;Percentual da população do quarto quintil de renda que foi internada nos últimos 12 meses;;;;Q4;Percentual da população que foi internada nos últimos 12 meses, por quintil de renda;;;1;0;0;;;
A050000000050000000;Percentual da população do quinto quintil de renda que foi internada nos últimos 12 meses;;;;Q5;Percentual da população que foi internada nos últimos 12 meses, por quintil de renda;;;1;0;0;;;
A050000000100000000;Percentual da população residente em área urbana que foi internada nos últimos 12 meses;;;;;;;;0;0;0;;;
A050000000200000000;Percentual da população residente em área rural que foi internada nos últimos 12 meses;;;;;;;;0;0;0;;;
A050010800000000000;Percentual da população com 1 a 8 anos de escolaridade que foi internada nos últimos 12 meses;;;;;;1 a 8;Percentual da população que foi internada nos últimos 12 meses, por anos de estudo;0;1;0;;;2
A050091100000000000;Percentual da população com 9 a 11 anos de escolaridade que foi internada nos últimos 12 meses;;;;;;9 a 11;Percentual da população que foi internada nos últimos 12 meses, por anos de estudo;0;1;0;;;3
A050111100000000000;Percentual da população com menos de 1 ano de escolaridade que foi internada nos últimos 12 meses;;;;;;< 1;Percentual da população que foi internada nos últimos 12 meses, por anos de estudo;0;1;0;;;1
A050120000000000000;Percentual da população com 12 anos ou mais de escolaridade que foi internada nos últimos 12 meses;;;;;;12 ou mais;Percentual da população que foi internada nos últimos 12 meses, por anos de estudo;0;1;0;;;4
A051000000000000000;Percentual de homens que foram internados nos últimos 12 meses;;;;;;;;0;0;0;;;
A052000000000000000;Percentual de mulheres que foram internadas nos últimos 12 meses;;;;;;;;0;0;0;;;
A070000000000000000;Percentual de mulheres de 50 a 69 anos que fizeram mamografia nos últimos 2 anos;;;;Total;Todas as categorias;Total;Todas as categorias;0;0;0;;;
A070000000010000000;Percentual de mulheres de 50 a 69 anos do primeiro quintil de renda que fizeram mamografia nos últimos 2 anos;;;;Q1;Percentual de mulheres de 50 a 69 anos que fizeram mamografia nos últimos 2 anos, por quintil de renda;;;1;0;0;;;1
A070000000020000000;Percentual de mulheres de 50 a 69 anos do segundo quintil de renda que fizeram mamografia nos últimos 2 anos;;;;Q2;Percentual de mulheres de 50 a 69 anos que fizeram mamografia nos últimos 2 anos, por quintil de renda;;;1;0;0;;;2
A070000000030000000;Percentual de mulheres de 50 a 69 anos do terceiro quintil de renda que fizeram mamografia nos últimos 2 anos;;;;Q3;Percentual de mulheres de 50 a 69 anos que fizeram mamografia nos últimos 2 anos, por quintil de renda;;;1;0;0;;;3
A070000000040000000;Percentual de mulheres de 50 a 69 anos do quarto quintil de renda que fizeram mamografia nos últimos 2 anos;;;;Q4;Percentual de mulheres de 50 a 69 anos que fizeram mamografia nos últimos 2 anos, por quintil de renda;;;1;0;0;;;4
A070000000050000000;Percentual de mulheres de 50 a 69 anos do quinto quintil de renda que fizeram mamografia nos últimos 2 anos;;;;Q5;Percentual de mulheres de 50 a 69 anos que fizeram mamografia nos últimos 2 anos, por quintil de renda;;;1;0;0;;;5
A070000000100000000;Percentual de mulheres de 50 a 69 anos residentes em área urbana que fizeram mamografia nos últimos 2 anos;;;;;;;;0;0;0;;;
