Id;cod_ind_p;nome_ind_p;definicao_p;inter_p;met_calc_p;fonte_p;valor_ref_p;period_p;atuali_p;period_c_p;abrang_g_p;nivel_a_p;dimen_p;limit_p;bibli_p;quest_pen_p;bobs_p;periodo_inic;periodo_fin;sexo;ajuste;cobertura;renda;escolaridade;situacao;pnad;sus;especialista;esfera;fxetaria;tabela;erro;porte;status
1;A10;Partos hospitalares;Percentual de partos hospitalares no total de partos, na população residente em determinado espaço geográfico, no ano considerado.;1 - Indica a participação relativa dos partos hospitalares no total de partos. O número de nascidos vivos é adotado como uma aproximação do total de partos. 2 - É influenciado por fatores socioeconômicos, pela infra-estrutura de prestação de serviços e por políticas públicas assistenciais e preventivas.;Numerador: número de nascidos vivos de parto hospitalar, de mães residentes X 100. Denominador: número total de nascidos vivos de mulheres residentes.;SINASC.;;Mensal.;Anual.;2000 - 2015;Regiões de Saúde.;Básica;Acesso.;1 - Desconsidera, por restrição da fonte de dados, os partos que deram origem a natimortos e abortos. 2 - A representatividade populacional do indicador pode estar comprometida nas áreas que apresentam insuficiente cobertura do sistema de informação sobre nascidos vivos. 3 - Há possibilidade de superestimação do indicador pela maior probabilidade de registro de partos hospitalares no sistema de informação sobre nascidos vivos. 4 - Há possibilidade de nascidos vivos que morrem logo após o nascimento serem declarados como natimortos, subenumerando o total de nascidos vivos. 5 - A ocorrência de partos gemelares resulta em contagem cumulativa de nascidos vivos. 6 - Por incluir no denominador os partos sem informação sobre o local do parto, está-se assumindo que estes casos foram não hospitalares.;;;;2000;2016;0;0;0;0;0;0;;0;0;0;0;1;0;0;S
2;A11;Cirurgias de prótese de quadril em idosos;Número de cirurgias de prótese parcial ou total de quadril por 100 mil habitantes com 60 anos ou mais, em determinado espaço geográfico, no ano considerado.;Permite verificar o acesso a serviços de média e alta complexidades.;Numerador: número de procedimentos de implantação de prótese de quadril em residentes de 60 anos ou mais de idade X 100.000. Denominador: população total de 60 anos ou mais de idade residente. Procedimentos (SIH/1998-2007): 39003124, 39016129, 39018121, 39025128, 39027120, 39029123 e 93392150. Procedimento (SIH/2008-2010): 0408040041, 0408040050, 0408040076, 0408040084, 0408040092 e 0702031224.;SIH-SUS.;;Mensal.;Anual.;2000 - 2015;Regiões de Saúde.;Alta e média complexidade;Acesso.;1 - Os tetos estabelecidos para faturamento de AIHs podem gerar taxas imprecisas. 2 - Inclui apenas as internações realizadas no setor público ou no setor privado quando pagas pelo SUS.;;;;2000;2017;0;1;0;0;0;0;;0;0;0;0;1;0;0;S
3;A12;Cirurgias de catarata;Número de cirurgias de remoção de catarata (facectomia) em residentes de 40 anos ou mais de idade, por 100 mil habitantes, em determinado espaço geográfico, no ano considerado.;Permite verificar o acesso a serviços de média e alta complexidades.;Numerador: número de procedimentos de remoção de catarata (hospitalares ou ambulatorias) em residentes de 40 anos ou mais de idade X 100.000. Denominador: população total de 40 anos ou mais de idade residente.Procedimentos (SIH/2000-2007): 36004049, 36005045, 36019054, 36020052. Procedimentos (SIA/2000-2007): 0814507, 0814603, 0814614, 0814617 a 0814618. Procedimentos (SIH e SIA/2008-2015): 0405050097, 0405050100, 0405050119 e 0405050372.;SIH-SUS e SIA.;;Mensal.;Anual.;2000 - 2015;Regiões de Saúde.;Média e alta complexidade;Acesso.;1 - Os tetos estabelecidos para faturamento de AIHs podem gerar taxas imprecisas. 2 - Houve períodos em que foram realizados mutirões (2002-2005). 3 - Os dados das cirurgias ambulatoriais não permitem identificação da faixa etária até 2007. 4 - Dados de 2008 e 2009 indicam que 90% dos pacientes tinham mais de 40 anos de idade.;;;;2000;2017;0;0;0;0;0;0;;0;0;0;0;1;0;0;S
4;A13;Cirurgias de revascularização do miocárdio;Número de cirurgias de revascularização do miocárdio, por 100 mil habitantes com 20 anos ou mais de idade, em determinado espaço geográfico, no ano considerado.;Permite monitorar o acesso a serviços de média e alta complexidades.;Numerador: número de procedimentos de cirurgias de revascularização do miocárdio em residentes de 20 anos ou mais de idade X 100.000. Denominador: população total de 20 anos ou mais de idade residente. Procedimentos (SIH/1998-2007): 32011016, 32038011, 32039018, 32040016, 48010073, 48010081, 48010090 e 48010103. Procedimentos (SIH/2008-2010): 0406010927, 0406010935, 0406010943 e 0406010951.;SIH-SUS.;;Mensal.;Anual.;2000 - 2015;Regiões de Saúde.;Média e alta complexidade;Acesso.;1 - As variações nas taxas entre as regiões de saúde podem ser devidas à prevalência da doença coronariana, disponibilidade de serviços e padrões de práticas dos provedores. 2 - Em decorrência dos avanços tecnológicos e do caráter menos invasivo, observa-se que nos anos mais recentes houve uma diminuição nas taxas de cirurgias de revascularização e aumento nas taxas de angioplastia. 3 - Os tetos estabelecidos para faturamento de AIHs podem gerar taxas imprecisas. 4 - Inclui apenas as internações realizadas no setor público ou no setor privado quando pagas pelo SUS.;1 - Canadian Institute for Health Information, Health Indicators 2009 (Ottawa, Ont.: CIHI, 2009). 2 - Emanuel, E. J. & Fuchs, V. R. The perfect storm of overutilization. Jama, 2008 (23):2789-91. 3 - Polanczyk CA, Ribeiro JP. Coronary artery disease in Brazil: contemporary management and future perspectives. Heart. 2009 95(11):870-6.;;;2000;2017;0;1;0;0;0;0;;0;0;0;0;1;0;0;S
5;A15;Angioplastias;Número de angioplastias, por 100 mil habitantes de 20 anos ou mais de idade, em determinado espaço geográfico, no ano considerado.;Permite verificar o acesso a serviços de média e alta complexidades.;Numerador: número de procedimentos de angioplastia em residentes de 20 anos ou mais de idade X 100.000. Denominador: população total de 20 anos ou mais de idade residente. Procedimentos (SIH/1998-2007): 32023014, 32035012, 48030066, 48030074, 48030082, 48030090, 48030104, 48030112. Procedimentos (SIH/2008-2010): 0406030014, 0406030022, 0406030030, 0406030049, 0406030065 e 0406030073.;SIH-SUS.;;Mensal.;Anual.;2000 - 2015;Regiões de Saúde.;Média e alta complexidade;Acesso.;1 - As variações nas taxas entre as regiões podem ser devidas à prevalência da doença coronariana, disponibilidade de serviços e padrões de práticas dos provedores. 2 - Em decorrência dos avanços tecnológicos e do caráter menos invasivo, observa-se que nos anos mais recentes houve uma diminuição nas taxas de cirurgias de revascularização e aumento nas taxas de angioplastia. 3 - Os tetos estabelecidos para faturamento de AIHs podem gerar taxas imprecisas. 4 - Inclui apenas as internações realizadas no setor público ou no setor privado quando pagas pelo SUS.;1 - Canadian Institute for Health Information, Health Indicators 2009 (Ottawa, Ont.: CIHI, 2009). 2 - Emanuel, E. J. & Fuchs, V. R. The perfect storm of overutilization. Jama, 2008 (23):2789-91. 3 - Polanczyk CA, Ribeiro JP. Coronary artery disease in Brazil: contemporary management and future perspectives. Heart. 2009 95(11):870-6.;;;2000;2017;0;1;0;0;0;0;;0;0;0;0;1;0;0;S
6;A20;Imunização de menores de 1 ano por Tetra ou Pentavalente;Percentual de crianças menores de 1 ano vacinadas com a terceira dose de imunobiológico contra Difteria, Coqueluche, Tétano, Haemophylus Influenzae B - HIb e Hepatite B, em determinado espaço geográfico, no ano considerado.;1 - Estima o nível de proteção da população infantil contra doenças selecionadas, evitáveis por imunização, mediante o cumprimento do esquema básico de vacinação. 2 - O número de doses necessárias e os intervalos recomendados entre as doses, para cada tipo de vacina, constam de normas nacionais estabelecidas pelo Ministério da Saúde.;Numerador: número de crianças menores de 1 ano que receberam a terceira dose de tetra/pentavalente X 100. Denominador: população total de crianças menores de 1 ano residente.;SI-PNI e SINASC.;O Ministério da Saúde recomenda uma meta mínima igual ou maior que 95% de cobertura da vacinação tetra ou pentavalente em menores de um ano de idade.;Anual.;Anual.;2002 - 2013;Regiões de Saúde.;Primária;Acesso.;1 - Limitações das estimativas da população-alvo e do registro das vacinações. 2 - Valores mais baixos de cobertura, assim como acima de 100%, podem estar associados à imunização de não residentes dos municípios onde foram realizados os procedimentos. 3 - Trata-se de uma estimativa da cobertura de imunização. No denominador usa-se o total de nascidos vivos gerado pelo SINASC no mesmo ano.;Brasil. Ministério da Saúde. Secretaria de Gestão Estratégica e Participativa. Departamento de Articulação Interfederativa. Caderno de Diretrizes, Objetivos, Metas e Indicadores: 2013-2015 / Ministério da Saúde, Secretaria de Gestão Estratégica e Participativa. Departamento de Articulação Interfederativa. - 2. ed. - Brasília: Ministério da Saúde, 2014. 154 p. : il. - (Série Articulação Interfederativa v. 1);;;2003;2016;0;0;0;0;0;0;;0;0;0;0;1;0;0;S
7;A22;Cobertura vacinal de idosos contra gripe;Percentual de pessoas de 60 anos ou mais de idade vacinadas contra gripe/influenza, em relação ao total da população idosa, em determinado espaço geográfico, no ano considerado.;Indica a efetividade de ações primárias de saúde direcionadas à população idosa, pois quanto maior a cobertura, maior a efetividade do programa.;Numerador: número de doses de vacina contra gripe aplicadas em pessoas de 60 anos ou mais X 100. Denominador: população total de 60 anos ou mais residente.;SI-PNI.;O Ministério da Saúde estabeleceu a meta de vacinar 80% da população com 60 anos ou mais de idade.;Mensal.;Anual.;2000 - 2014;Regiões de Saúde.;Básica;Acesso.;Problemas na estimativa da população alvo e no registro de vacinações.;1 - Brasil. Campanha Nacional de Vacinação contra a Influenza. Informe Técnico. Brasília, 2015. Disponível em: http://portalsaude.saude.gov.br/images/pdf/2015/junho/26/Informe-Campanha-Influenza---Atualiza----o-25-03-2014-final.pdf. 2 - W Paul Glezen & Lone Simonsen. Commentary: Benefits of influenza vaccine in US elderly-new studies raise questions. International Journal of Epidemiology 2006 35(2):352-353. 3 - Nichol, K.L., Margolis, K.L., Wuorenma, J., Von Sternberg, T. The Efficacy and Cost Effectiveness of Vaccination against Influenza among Elderly Persons Living in the Community. N Engl J Med 1994 331: 778-784. 4 - Peter A. Gross Alicia W. Hermogenes Henry S. Sacks Joseph Lau Roland A. Levandowski. The Efficacy of Influenza Vaccine in Elderly Persons. A Meta-Analysis and Review of the Literature. Annals of Internal Medicine, 123(7): 518-527, October 1995. 5 - Lisa A Jackson, Michael L Jackson, Jennifer C Nelson, Kathleen M Neuzil, Noel S Weiss. Evidence of bias in estimates of influenza vaccine effectiveness in seniors. International Journal of Epidemiology 2006 35(2):337-344.;;;2000;2017;0;0;0;0;0;0;;0;0;0;0;1;0;0;S
8;A26;Cobertura pela Estratégia Saúde da Família;Percentual da população coberta pela Estratégia Saúde da Família (ESF), em determinado espaço geográfico, no ano considerado.;Considera-se que a continuidade e a ampliação da ESF indicam a sustentabilidade da reorientação da política de saúde.;Numerador: número de pessoas que residem em domicílios cadastrados na Estratégia Saúde da Família X 100. Denominador: população total residente.;Departamento de Atenção Básica - DAB/SAS/MS.;;Mensal.;Anual.;2000 - 2015;Regiões de Saúde.;;Acesso.;;;;;2000;2017;0;0;0;0;0;0;;0;0;0;0;1;0;0;S
9;A28;Distância média percorrida (em km) para realização de procedimentos específicos fora da Região de Saúde de residência;Distância média percorrida (em km) pelos residentes de uma Região de Saúde para realização de procedimentos específicos (mamografia, angioplastia, quimioterapias, radioterapias, internações clínicas ou internações cirúrgicas) em outras Regiões de Saúde, no ano considerado.;Indica a distância percorrida pela população para acessar procedimentos específicos em outra Região de Saúde.;Numerador: soma do número de procedimentos multiplicados pela distância entre as sedes dos municípios de residência e de atendimento. Denominador: soma de procedimentos realizados fora da Região de Saúde de residência.;SIH-SUS e SIA.;;Anual.;Anual.;2008 - 2015;Regiões de Saúde.;;Acesso.;1 - O cálculo utiliza a distância euclidiana, que não considera barreiras físicas, geográficas ou vias de acesso. 2 - Considera-se como pontos de origem e de destino as coordenadas geográficas das sedes municipais.;;;;2010;2017;0;0;0;0;0;0;;0;2;0;0;1;0;0;S
10;A29;Distância média percorrida (em km) para realização de procedimentos específicos na Região de Saúde de residência;Distância média percorrida (em km) pelos residentes de um município para realização de procedimentos específicos (mamografia, angioplastia, quimioterapia, radioterapia internações clínicas ou internações cirúrgicas) em outros municípios da mesma Região de Saúde, no ano considerado.;Indica a distância percorrida pela população para acessar procedimentos específicos dentro da Região de Saúde de residência.;Numerador: soma do número de procedimentos multiplicados pela distância entre as sedes dos municípios de residência e de atendimento. Denominador: soma de procedimentos realizados nos municípios que compõem a Região de Saúde de residência.;SIH-SUS e SIA.;;Anual.;Anual.;2008 - 2015;Regiões de Saúde.;;Acesso.;1 - O cálculo utiliza a distância euclidiana, que não considera barreiras físicas, geográficas ou vias de acesso. 2 - Considera-se como pontos de origem e de destino as coordenadas geográficas das sedes municipais. 3 - Não são considerados deslocamentos intramunicipais.;;;;2010;2017;0;0;0;0;0;0;;0;2;0;0;1;0;0;S
